HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
64097,13 08 07.4178,+28 13 08.6448,240.0,6259,10.5651,3.0,1.3,1.5,1.2,1.7,4.2
64098,13 08 07.4837,+53 33 37.8470,130.0,6949,8.3499,6.3,1.5,1.7,1.6,2.3,7.97
64103,13 08 13.3170,+03 46 37.0486,73.0,5231,9.8074,0.7,0.85,1.0,0.6,0.9,13.69
64107,13 08 16.0270,+32 02 47.4978,780.0,7054,10.1376,42.3,1.6,4.4,4.0,6.0,1.28
64109,13 08 20.6079,-87 13 10.2461,37.0,5642,8.3418,0.67,0.99,0.85,0.6,0.8,27.01
64110,13 08 21.4311,+46 23 06.5395,360.0,6526,9.6892,15.0,1.4,3.07,3.0,4.0,2.74
64111,13 08 21.9571,-36 13 26.8560,91.9,7080,6.9293,12.0,1.6,2.3,2.2,3.0,10.88
64113,13 08 24.8112,+16 58 19.1617,25.0,3638,11.8378,0.039,0.412,0.5,0.19,0.3,39.53
64116,13 08 26.4632,+15 29 29.9010,90.8,5044,7.985,6.14,0.8,3.25,2.0,3.0,11.01
64119,13 08 29.5310,-82 43 15.6059,100.0,5858,8.2219,5.3,1.09,2.23,1.7,2.3,9.84
64120,13 08 29.9284,-02 40 44.5794,170.0,6676,7.9249,16.0,1.4,3.0,3.0,4.0,5.99
64123,13 08 32.7249,+42 08 52.4448,170.0,6339,8.7784,7.3,1.4,2.25,1.8,3.0,5.96
64124,13 08 32.7278,-23 40 45.5269,400.0,6672,8.9563,37.0,1.4,4.6,4.0,6.0,2.49
64126,13 08 35.5924,+35 00 16.7374,124.0,5836,10.3018,1.13,1.08,1.0,0.8,1.1,8.04
64130,13 08 38.4109,-54 36 51.4382,270.0,7168,7.8336,45.0,1.6,4.3,4.0,6.0,3.7
64135,13 08 39.9425,-23 49 19.4114,84.0,6398,7.6443,5.6,1.4,1.9,1.6,2.3,11.95
64137,13 08 40.6172,-36 57 23.1070,140.0,6086,9.2782,3.8,1.21,1.7,1.4,1.9,7.03
64138,13 08 40.6579,-63 12 41.5251,508.0,6089,9.2418,50.0,1.21,6.4,5.0,7.0,1.97
64142,13 08 43.2832,+18 34 48.1624,79.0,6133,8.7654,1.7,1.24,1.15,0.9,1.3,12.63
64146,13 08 48.5992,-51 18 40.4023,150.0,6349,9.2159,4.3,1.4,1.7,1.4,2.0,6.67
64147,13 08 49.3197,-05 59 44.3381,250.0,6346,8.6721,19.0,1.4,3.6,3.0,4.0,4.03
64148,13 08 50.3939,-43 23 20.4600,240.0,6170,9.7765,6.4,1.3,2.22,1.8,2.5,4.25
64151,13 08 51.6826,-06 26 30.4688,240.0,6243,9.4041,8.9,1.3,2.6,2.1,3.0,4.24
64152,13 08 52.0292,+69 58 08.8726,117.0,6703,8.6989,4.0,1.4,1.5,1.3,1.9,8.54
64153,13 08 53.5252,-52 34 56.2426,120.0,5003,9.3908,3.3,0.79,2.4,1.5,2.0,8.34
64155,13 08 56.4111,+46 51 12.6079,560.0,5923,8.8416,80.5,1.12,8.5,6.0,9.0,1.77
64159,13 08 59.3812,+02 09 35.7553,160.0,6551,8.2614,11.2,1.4,2.6,2.2,3.0,6.22
